,Target Job Title,Matched Job Title,Similarity Score
1315,Account Executive,Chief Executives,0.6100189
1316,Pain Medicine Physician,Emergency Medicine Physicians,0.6536429
1317,Senior Account Manager,Financial Managers,0.61869144
1318,Principal and General Counsel,"Pediatricians, General",0.5610232
1319,Lecturer,"Teachers and Instructors, All Other",0.62886167
1320,Corporate Communications Lead,Media Technical Directors/Managers,0.5989041
1321,Planner II,Urban and Regional Planners,0.57931614
1322,Internal Medicine Specialist,General Internal Medicine Physicians,0.853042
1323,Multimedia Producer,Producers and Directors,0.66212034
1324,Marriage and Family Therapist,Marriage and Family Therapists,0.9855285
1325,Internal Medicine Resident Physician,General Internal Medicine Physicians,0.8551003
1326,Operating Executive,Chief Executives,0.6882893
1327,Associate Policy Researcher,Social Science Research Assistants,0.5638038
1328,Senior Launch Manager,Aircraft Launch and Recovery Officers,0.52075124
1329,Principal Investor,Financial and Investment Analysts,0.51607746
1330,Credit Analyst,Credit Analysts,0.93847567
1331,National Director,Talent Directors,0.5725869
1332,Senior Intelligence Officer,Special Forces Officers,0.6424291
1333,Localization Design Consultant,Urban and Regional Planners,0.5065702
1334,Senior Lead Program Manager,Project Management Specialists,0.5621674
1335,Clinical Research Analyst,Clinical Research Coordinators,0.71535707
1336,Financial Analyst II,Financial and Investment Analysts,0.80065846
1337,Senior Business Development Analyst,Management Analysts,0.6796644
1338,Freight Associate,Cargo and Freight Agents,0.72949755
1339,Biotech investor,Bioengineers and Biomedical Engineers,0.48068213
1340,Workday Associate Manager,Lodging Managers,0.52306986
1341,Clinical Psychology Research Fellow,Clinical and Counseling Psychologists,0.74126184
1342,Legal Counsel,Lawyers,0.74526614
1343,Software Engineer P3,Software Developers,0.5925276
1344,Associate Program Coordinator,Instructional Coordinators,0.72159415
1345,Treasury Analyst,Budget Analysts,0.60477567
1346,International Strategist,Search Marketing Strategists,0.48403043
1347,Program Director,Media Programming Directors,0.567801
1348,Engineering Director,Electrical Engineers,0.6809577
1349,Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgeons,0.9571331
1350,Seasonal Support Associate,Personal Care Aides,0.48693794
1351,Program Assistant,Statistical Assistants,0.651039
1352,Video Producer,Producers and Directors,0.6812953
1353,Integrated Marketing Manager,Marketing Managers,0.7747507
1354,Medical Scribe,Medical Records Specialists,0.61482334
1355,Visiting fellowship,Clergy,0.37014747
1356,Editorial Director,Editors,0.65486044
1357,Control Engineer,Industrial Engineers,0.7435006
1358,Research Health Scientist,"Environmental Scientists and Specialists, Including Health",0.7323803
1359,Graduate Student Affiliate,"Education Administrators, Postsecondary",0.34773278
1360,Strategy & Operations Lead,General and Operations Managers,0.58253145
1361,Executive Assistant,Executive Secretaries and Executive Administrative Assistants,0.7555839
1362,Area Manager,Facilities Managers,0.615783
1363,Planning Director,Project Management Specialists,0.5847408
1364,Business Development Account Manager,Financial Managers,0.5123902
1365,Community Development Coordinator,Instructional Coordinators,0.6224055
1366,Senior Member Of Technical Staff,Administrative Services Managers,0.5399499
1367,Senior Technical Editor,Editors,0.72977287
1368,Mid Market Account Executive,Chief Executives,0.5317184
1369,English Teaching Assistant,"Teaching Assistants, All Other",0.7181374
1370,Lead Data Science Engineer,Data Scientists,0.6082846
1371,Strategic Partnerships Manager,Purchasing Managers,0.5490701
1372,Second Grade Bilingual Teacher,"Foreign Language and Literature Teachers, Postsecondary",0.56150794
1373,Applied Scientist II,"Physical Scientists, All Other",0.5907984
1374,Private Debt and Equity Senior Analyst,Credit Analysts,0.58173954
1375,Project 55 Fellow,Project Management Specialists,0.38148576
1376,Orthopedic Surgery Resident,"Orthopedic Surgeons, Except Pediatric",0.73235095
1377,Investment Advisor,Investment Fund Managers,0.7944968
1378,Senior Photonics Architect,Photonics Engineers,0.82950646
1379,Creative Content Producer,Media Programming Directors,0.629343
1380,Litigation Attorney,Lawyers,0.75084734
1381,Director I,Art Directors,0.6092932
1382,Research Editor,Editors,0.80020106
1383,Interventionist,Psychiatric Aides,0.46199223
1384,Office and Communications Manager,Public Relations Managers,0.66863513
1385,Associate Technical Staff,Medical Secretaries and Administrative Assistants,0.5803275
1386,Transportation Analyst,Transportation Engineers,0.8061318
1387,Teacher of Writing,Writers and Authors,0.6141605
1388,Solution Consultant,Project Management Specialists,0.6241899
1389,Senior Solutions Engineer,Industrial Engineers,0.64364403
1390,Administrative Associate,Administrative Services Managers,0.69772565
1391,Senior Salesforce Developer,Software Developers,0.6483535
1392,Business Operations & Product Strategy,Operations Research Analysts,0.5975833
1393,Film Writer,Art Directors,0.6690974
1394,Lead Analyst,Management Analysts,0.65430325
1395,Coastal Planner,Urban and Regional Planners,0.5943942
1396,Senior Strategy Advisor,Management Analysts,0.5743208
1397,Documentary Filmmaker,Producers and Directors,0.6050086
1398,Business Operations Lead,"Business Operations Specialists, All Other",0.62937975
1399,Deputy Solicitor General,"Office Clerks, General",0.5094334
1400,USD Swaps Trading Analyst,Financial Quantitative Analysts,0.42016083
1401,Research Program Coordinator,Clinical Research Coordinators,0.81142044
1402,Master,"Managers, All Other",0.3662876
1403,Podcast Consultant,Audiologists,0.5952395
1404,Development Writer,Technical Writers,0.6614425
1405,Strategic Finance Senior Lead,Financial Managers,0.5808344
1406,Associate Product Marketing Manager,Marketing Managers,0.7239624
1407,Research Marine Biologist,Biologists,0.6170745
1408,Assistant City Prosecutor,Legal Secretaries and Administrative Assistants,0.5637678
1409,Principal Investigator,Detectives and Criminal Investigators,0.6150129
1410,Compliance Director,Compliance Officers,0.8355222
1411,Web Modernization Lead,Web Developers,0.58229315
1412,New Cities Expansion/Fundraising Advisor,Fundraising Managers,0.6415201
1413,Associate Intern,Medical Assistants,0.4824775
1414,Operations Research Analyst,Operations Research Analysts,0.9433619
1415,Affiliated Lecturer,"Teachers and Instructors, All Other",0.5411418
1416,Co-General Manager,General and Operations Managers,0.7221557
1417,Research Analyst I,Management Analysts,0.68625486
1418,Product Marketing Manager II,Marketing Managers,0.7423625
1419,Sommelier,Upholsterers,0.40241688
1420,Proposal and Capture Strategist,Search Marketing Strategists,0.48287827
1421,Senior Platform Associate,"Education Administrators, All Other",0.5151508
1422,Design Engineer,Manufacturing Engineers,0.7435398
1423,Senior Media Coordinator,Media Technical Directors/Managers,0.64742625
1424,Software Engineering Vice President,Software Developers,0.56214046
1425,Writing & Essay Specialist,Technical Writers,0.62803674
1426,Professional Musician,Musicians and Singers,0.66799605
1427,Personal Lead,Marketing Managers,0.34650242
1428,Project Manager Walzwerk,Project Management Specialists,0.7090167
1429,Marketing Coordinator,Marketing Managers,0.7290789
1430,Human Resources Manager,Human Resources Managers,0.9709722
1431,Freelance Digital Artist,Craft Artists,0.6852273
1432,Coordinator,Instructional Coordinators,0.70942533
1433,News and Features Editor,Editors,0.5968658
1434,Vital Program Manager,Medical and Health Services Managers,0.52544415
1435,Science Payload Uplink Lead,Materials Scientists,0.27410066
1436,Design Program Manager,Architectural and Engineering Managers,0.5724441
1437,Teaching Faculty,"Teachers and Instructors, All Other",0.69606024
1438,Office Assistant,Medical Assistants,0.7024729
1439,Chief of Service,Chief Executives,0.68158644
1440,Biomechanical Design Lead,Mechanical Engineers,0.43158507
1441,Service and Safety Agent,"Protective Service Workers, All Other",0.6366173
1442,Legal Associate,Paralegals and Legal Assistants,0.66823137
1443,Policy Research Assistant,Social Science Research Assistants,0.6996682
1444,Media Director,Media Programming Directors,0.78535867
1445,Corporate Governance Counsel,Regulatory Affairs Managers,0.5774574
1446,Senior Specialist,Human Resources Specialists,0.57817316
1447,Associate Corporate Counsel,Emergency Management Directors,0.5019678
1448,Process Engineer,Manufacturing Engineers,0.70838773
1449,Predoctoral Fellow,Prepress Technicians and Workers,0.39821732
1450,Operations,Operations Research Analysts,0.59299743
1451,Backend Software Engineer,Software Developers,0.66878664
1452,Licensed architect,Landscape Architects,0.68122125
1453,Corps Member,Infantry Officers,0.56157255
1454,Digital Consultant,Web and Digital Interface Designers,0.572987
1455,Chief Compliance Officer,Compliance Officers,0.85848105
1456,Growth Associate,Training and Development Specialists,0.47663778
1457,Assistant Chancellor,Medical Assistants,0.50284004
1458,Sports Medicine Fellow,Sports Medicine Physicians,0.86229986
1459,Lighting Designer,Lighting Technicians,0.7525315
1460,Senior Insurance Regulatory Policy Analyst,Regulatory Affairs Specialists,0.6332511
1461,GPE KIX Regional Hub Manager,Computer Network Support Specialists,0.3558427
1462,ORISE Postdoctoral Researcher,Archivists,0.45741084
1463,Formal Verification Researcher,Validation Engineers,0.61269546
1464,Associate Advisor,Residential Advisors,0.6120099
1465,Director of Membership,Emergency Management Directors,0.4832465
1466,Data and Evaluation Manager,Clinical Data Managers,0.62773526
1467,Research Services Manager,Administrative Services Managers,0.63841
1468,Events and Communications Executive,"Meeting, Convention, and Event Planners",0.60424185
1469,Impact Finance Senior Associate,"Financial Specialists, All Other",0.5510013
1470,Business Strategy Manager,Marketing Managers,0.628914
1471,Game Writer,Video Game Designers,0.68819547
1472,Market Operations Manager,General and Operations Managers,0.70305073
1473,Financial Due Diligence & Advisory Senior Associate,"Financial Specialists, All Other",0.5586669
1474,Pre-Doctoral Fellow,Archivists,0.45174822
1475,Web Content Manager,Web Administrators,0.5978417
1476,NSF Postdoctoral Research Fellow,Clinical Research Coordinators,0.41065794
1477,Revenue Operations Manager,General and Operations Managers,0.67071545
1478,Nephrologist,"Physicians, All Other",0.54395545
1479,Scientific Advisor,Natural Sciences Managers,0.6095798
1480,Electrochemical Engineer,Chemical Engineers,0.7333796
1481,Sustainability Consultant,Sustainability Specialists,0.8575312
1482,Founder Fellow,Millwrights,0.40485105
1483,Neonatal Advanced Practice Provider,"Pediatricians, General",0.5663127
1484,Lead Engineer,Materials Engineers,0.6831025
1485,Petroleum Engineer,Petroleum Engineers,0.9743617
1486,Studio Assistant,"Teaching Assistants, All Other",0.5937364
1487,Mathematics Teacher,"Mathematical Science Teachers, Postsecondary",0.796645
1488,College Applications Tutor,Tutors,0.7561395
1489,Developer Advocate,Software Developers,0.6901002
1490,Senior Software Developer,Software Developers,0.7615256
1491,Head of Trading,Customs Brokers,0.49488607
1492,Global Assistant Vice President,Executive Secretaries and Executive Administrative Assistants,0.49153984
1493,Archival Associate Producer,Producers and Directors,0.5764022
1494,Group Fitness Instructor,Exercise Trainers and Group Fitness Instructors,0.85543776
1495,Master of Philosophy,"Philosophy and Religion Teachers, Postsecondary",0.5449971
1496,President,Chief Executives,0.4638872
1497,Essay Coach,Instructional Coordinators,0.48032084
1498,Associate Program Officer,Compliance Officers,0.60052353
1499,Senior Program Director,Project Management Specialists,0.55300313
1500,Teammate,Team Assemblers,0.47062525
1501,Digital Producer,Producers and Directors,0.6298614
1502,Design strategist,Commercial and Industrial Designers,0.55534786
1503,Writers' Assistant,Writers and Authors,0.6652696
1504,Senior Business Associate,"Business Operations Specialists, All Other",0.6073244
1505,Residency,Residential Advisors,0.38988468
1506,Chief of Staff,Chief Executives,0.72456664
1507,Attorney Development Manager,Lawyers,0.600677
1508,Management Executive,Chief Executives,0.76500064
1509,Client Business Executive,"Business Operations Specialists, All Other",0.5295908
1510,Staff Software Automation Engineer,Software Developers,0.5770509
1511,Business Operations Director,"Business Operations Specialists, All Other",0.7647606
1512,Assistant Inspector General,"Office Clerks, General",0.59923077
1513,Project Analyst,Project Management Specialists,0.787192
1514,Senior Project Director,Project Management Specialists,0.71412826
1515,Twelfth Grade Dean,"Postsecondary Teachers, All Other",0.53408796
1516,Studio Manager,Project Management Specialists,0.6177288
1517,Corporate Strategy Associate,Management Analysts,0.5550834
1518,Civil and Environmental Engineer,Civil Engineers,0.8631785
1519,Physical Scientist,"Physical Scientists, All Other",0.88842547
1520,Reporter,"News Analysts, Reporters, and Journalists",0.5713627
